RefDes,PartDecal,Pins,Layer,Orient.,X,Y,SMD
C97,CAPC1608N,2,Bottom,180,2098.425197,732.2834646,TRUE
C98,CAPC1608N,2,Bottom,0,2098.425197,574.4251969,TRUE
C99,CAPC1608N,2,Top,180,1799,689,TRUE
C102,CAPC1608N,2,Bottom,270,748.0314961,2346.456693,TRUE
C103,CAPC1608N,2,Bottom,90,748.0314961,2165.354331,TRUE
C104,CAPC1608N,2,Bottom,270,1385.826772,2346.456693,TRUE
C105,CAPC1608N,2,Bottom,90,1385.826772,2165.354331,TRUE
C106,CAPC1608N,2,Bottom,270,2062.992126,2346.456693,TRUE
C107,CAPC1608N,2,Bottom,90,2062.992126,2165.354331,TRUE
C109,CAPC3216N,2,Bottom,90,1129.92126,1496.062992,TRUE
C110,CAPC3216N,2,Bottom,0,2185.03937,2559.055118,TRUE
D1,SOT95P280-3N,3,Bottom,270,2763.779528,1062.992126,TRUE
D2,DIOSMCN,2,Top,180,2708.661417,818.8976378,TRUE
D3,SOT95P280-3N,3,Bottom,90,3074.80315,1074.80315,TRUE
D4,SOT95P280-3N,3,Bottom,90,3220.472441,1074.80315,TRUE
D5,DIOSMCN,2,Top,180,2708.661417,1354.330709,TRUE
D6,DIOSMCN,2,Top,0,3098.425197,1354.330709,TRUE
D7,SOT95P280-3N,3,Bottom,0,482.2834646,690.9448819,TRUE
D8,SOT95P280-3N,3,Bottom,180,1137.795276,685.0393701,TRUE
D9,SOT95P280-3N,3,Bottom,180,1653.543307,795.2755906,TRUE
D10,SOT95P280-3N,3,Bottom,180,1653.543307,592.519685,TRUE
D11,SOT95P280-3N,3,Bottom,180,901.5748031,519.6850394,TRUE
D12,DIOSMAN,2,Bottom,270,464.5669291,464.5669291,TRUE
D13,LED_0805,2,Top,180,120,1385.83,TRUE
D14,LED_0805,2,Top,180,120,1476.38,TRUE
D15,LED_0805,2,Top,180,120,1566.93,TRUE
D16,LED_0805,2,Top,0,2704.724409,633.8582677,TRUE
D17,LED_0805,2,Top,180,3200.787402,669.2913386,TRUE
D18,SOIC127P600-8N,8,Bottom,90,215,651,TRUE
D19,LED_0805,2,Top,180,120,1204.72,TRUE
D20,LED_0805,2,Top,180,120,1295.28,TRUE
F1,FUSE_MINISMDC050,2,Top,0,2704.724409,1606.299213,TRUE
F2,FUSE_MINISMDC050,2,Top,270,2960.629921,1606.299213,TRUE
ICT1,ICT-TP-SMD,1,Bottom,0,1330,414,TRUE
ICT2,ICT-TP-SMD,1,Bottom,0,1712,1523,TRUE
ICT3,ICT-TP-SMD,1,Bottom,0,850,750,TRUE
J1,CONN_AMP-174971-2A,10,Top,180,2811.023622,2314.96063,FALSE
J2,HDR\DIP20,20,Top,90,657.480315,1692.913386,FALSE
J3,CONN54104-50-REV,52,Top,0,1025.590551,413.3858268,TRUE
J4,CONN52207-4-REV,6,Top,0,212.6,600,TRUE
J5,87437-2,2,Top,180,2415,385,TRUE
L1,IND_CDPH4D19F,2,Bottom,0,2759.84252,818.8976378,TRUE
L2,IND_CDPH4D19F,2,Bottom,270,3047.244094,818.8976378,TRUE
L3,IND_CDPH4D19F,2,Top,180,1271.653543,622.0472441,TRUE
L4,IND_CDPH4D19F,2,Top,180,1555.11811,622.0472441,TRUE
L5,IND_CDPH4D19F,2,Top,270,779.5275591,622.0472441,TRUE
L6,IND_CC2824,4,Top,270,3145.669291,1724.409449,TRUE
Q2,SOT95P280-3N,3,Bottom,270,614.1732283,988.1889764,TRUE
Q3,SOT95P280-3N,3,Bottom,270,1149.606299,1059.055118,TRUE
Q4,SOT95P280-3N,3,Bottom,180,728.3464567,519.6850394,TRUE
Q5,SOT523,3,Bottom,270,1037.401575,1057.086614,TRUE
R1,RESC1608N,2,Bottom,90,2139,139,TRUE
R2,RESC1608N,2,Bottom,180,114.1732283,1385.826772,TRUE
R3,RESC1608N,2,Bottom,180,114.1732283,1476.377953,TRUE
R4,RESC1608N,2,Bottom,90,1917.322835,988.1889764,TRUE
R5,RESC1608N,2,Bottom,90,2206,170,TRUE
R6,RESC1608N,2,Bottom,90,1858.267717,988.1889764,TRUE
R7,RESC1608N,2,Bottom,180,2411.417323,1730.314961,TRUE
R8,RESC1608N,2,Bottom,180,2009.84252,1364.173228,TRUE
R9,RESC1608N,2,Bottom,180,2204,513,TRUE
R10,RESC1608N,2,Bottom,180,1901.574803,377.9527559,TRUE
R11,RESC1608N,2,Bottom,90,1228.346457,275.5905512,TRUE
R12,RESC1608N,2,Bottom,270,1417.322835,275.5905512,TRUE
R13,RESC1608N,2,Bottom,0,1901.574803,440.9448819,TRUE
R14,RESC1608N,2,Bottom,180,1901.574803,507.8740157,TRUE
R15,RESC1608N,2,Bottom,0,1901.574803,251.9685039,TRUE
R16,RESC1608N,2,Bottom,0,1901.574803,314.9606299,TRUE
R17,RESC1608N,2,Bottom,0,2068.897638,244.0944882,TRUE
R18,RESC1608N,2,Bottom,90,2195,605,TRUE
R19,RESC1608N,2,Top,180,1799,636,TRUE
R20,RESC1608N,2,Bottom,180,3190.944882,1877.952756,TRUE
R21,RESC1608N,2,Bottom,180,1798,809,TRUE
R22,RESC1608N,2,Bottom,0,2578.740157,1181.102362,TRUE
R23,RESC1608N,2,Bottom,180,2578.740157,1118.110236,TRUE
R24,RESC1608N,2,Bottom,180,799.2125984,1397.637795,TRUE
R25,RESC1608N,2,Bottom,0,1964.566929,665.3543307,TRUE
R26,RESC1608N,2,Top,180,2578.740157,1118.110236,TRUE
R27,RESC1608N,2,Bottom,0,2578.740157,1055.11811,TRUE
R28,RESC1608N,2,Top,0,2578.740157,1181.102362,TRUE
R29,RESC1608N,2,Bottom,180,2037,814,TRUE
R30,RESC1608N,2,Top,0,783.4645669,1811.023622,TRUE
R31,RESC1608N,2,Bottom,0,2098.425197,641.3543307,TRUE
R32,RESC1608N,2,Top,270,3216.535433,1027.559055,TRUE
R33,RESC1608N,2,Top,0,1799,583,TRUE
R34,RESC1608N,2,Top,90,3216.535433,1153.543307,TRUE
R35,RESC1608N,2,Bottom,90,655,1290,TRUE
R36,RESC1608N,2,Bottom,180,1964.566929,732.2834646,TRUE
R37,RESC1608N,2,Bottom,90,653.5433071,838.5826772,TRUE
R38,RESC1608N,2,Bottom,270,527.5590551,838.5826772,TRUE
R39,RESC1608N,2,Bottom,0,1161.417323,456.6929134,TRUE
R40,RESC1608N,2,Bottom,0,1161.417323,582.6771654,TRUE
R41,RESC1608N,2,Bottom,180,1480.314961,681.1023622,TRUE
R42,RESC1608N,2,Bottom,0,1480.314961,555.1181102,TRUE
R43,RESC1608N,2,Bottom,90,962.5984252,1057.086614,TRUE
R44,RESC1608N,2,Bottom,0,1149.606299,1192.913386,TRUE
R45,RESC1608N,2,Top,90,606.2992126,547.2440945,TRUE
R46,RESC1608N,2,Bottom,270,964.5669291,665.3543307,TRUE
R47,RESC1608N,2,Bottom,270,901.5748031,665.3543307,TRUE
R48,RESC1608N,2,Bottom,90,838.5826772,665.3543307,TRUE
R49,RESC1608N,2,Bottom,270,535,1505,TRUE
R50,RESC1608N,2,Bottom,270,595,1290,TRUE
R51,RESC1608N,2,Bottom,270,2303.149606,728.3464567,TRUE
R52,RESC1608N,2,Bottom,90,595,1505,TRUE
R53,RESC1608N,2,Bottom,180,114.1732283,1566.929134,TRUE
