A!CLASS!REFDES!PIN_NUMBER!PAD_STACK_NAME!START_LAYER_NAME!END_LAYER_NAME!NET_NAME!PIN_X!PIN_Y!VIA_X!VIA_Y!DRILL_HOLE_TYPE!SLOT_SIZE_MAJOR!SLOT_SIZE_MINOR!SLOT_X!SLOT_Y!SLOT_ROTATION!SLOT_PLATING!DRILL_FIGURE_CHAR!DRILL_FIGURE_SHAPE!DRILL_FIGURE_WIDTH!DRILL_FIGURE_HEIGHT!DRILL_FIGURE_ROTATION!GRAPHIC_DATA_NAME!GRAPHIC_DATA_1!GRAPHIC_DATA_2!GRAPHIC_DATA_3!GRAPHIC_DATA_4!PIN_NUMBER_SORT!DRILL_ARRAY_LOCATIONS!COMP_PACKAGE!DRILL_HOLE_POSTOL!DRILL_HOLE_NEGTOL!BACKDRILL_TOP_LAYER!BACKDRILL_BOTTOM_LAYER!BACKDRILL_TOP_FROM!BACKDRILL_BOTTOM_FROM!EMBEDDED_LAYER!EMBEDDED_STATUS!BACKDRILL_SIZE!DRILL_TOP_NAME!DRILL_BOTTOM_NAME!NET_SHORT!TEST_POINT!PROBE_FIGURE!
J!C:/Users/Prometheus/Downloads/Downloads/Dell Latitude 5480  5488 CDM70 LA-E081P LA-E082P R1.0/Dell Latitude 5480  5488 CDM70 LA-E081P LA-E082P R1.1.brd!Tue Mar 19 17:06:49 2024!-24000.00!-16212.60!24000.00!15787.40!0.01!mils!D:/2016/LE081/1107/BR14U_UMA_MB_A00_20161107-1.NET!47.679921 mil!10!UP TO DATE!
S!PIN!PJP901!2!PAD43X118R-NPM!BOTTOM!BOTTOM!+CHARGER_SRC!189.00!379.66!!!!!!!!!!!!!!!FIG_RECTANGLE!189.00!364.95!118.12!29.44! 00000002!!JUMP_43X118-NPM!!!!!!!!!0.00!!!!!!
S!PIN!PJP901!1!PAD43X118L-NPM!BOTTOM!BOTTOM!+PWR_SRC_AC!189.00!336.35!!!!!!!!!!!!!!!FIG_RECTANGLE!189.00!351.07!118.12!29.44! 00000001!!JUMP_43X118-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV9!3!R20X12-NPM!TOP!TOP!HDMI_L_TX_N0!4110.82!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!4110.82!3822.00!12.00!20.00! 00000003!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV9!2!R20X12-NPM!TOP!TOP!HDMI_TX_N0!4110.82!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!4110.82!3772.79!12.00!20.00! 00000002!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV9!4!R20X12-NPM!TOP!TOP!HDMI_L_TX_P0!4089.17!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!4089.17!3822.00!12.00!20.00! 00000004!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV9!1!R20X12-NPM!TOP!TOP!HDMI_TX_P0!4089.17!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!4089.17!3772.79!12.00!20.00! 00000001!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV6!3!R20X12-NPM!TOP!TOP!HDMI_L_TX_N1!3860.82!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!3860.82!3822.00!12.00!20.00! 00000003!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV6!2!R20X12-NPM!TOP!TOP!HDMI_TX_N1!3860.82!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!3860.82!3772.79!12.00!20.00! 00000002!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV6!4!R20X12-NPM!TOP!TOP!HDMI_L_TX_P1!3839.17!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!3839.17!3822.00!12.00!20.00! 00000004!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV6!1!R20X12-NPM!TOP!TOP!HDMI_TX_P1!3839.17!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!3839.17!3772.79!12.00!20.00! 00000001!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV3!3!R20X12-NPM!TOP!TOP!HDMI_L_TX_N2!3720.82!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!3720.82!3822.00!12.00!20.00! 00000003!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV3!2!R20X12-NPM!TOP!TOP!HDMI_TX_N2!3720.82!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!3720.82!3772.79!12.00!20.00! 00000002!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV3!4!R20X12-NPM!TOP!TOP!HDMI_L_TX_P2!3699.17!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!3699.17!3822.00!12.00!20.00! 00000004!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV3!1!R20X12-NPM!TOP!TOP!HDMI_TX_P2!3699.17!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!3699.17!3772.79!12.00!20.00! 00000001!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV12!3!R20X12-NPM!TOP!TOP!HDMI_L_CLKN!4000.82!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!4000.82!3822.00!12.00!20.00! 00000003!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV12!2!R20X12-NPM!TOP!TOP!HDMI_CLKN!4000.82!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!4000.82!3772.79!12.00!20.00! 00000002!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV12!4!R20X12-NPM!TOP!TOP!HDMI_L_CLKP!3979.17!3822.00!!!!!!!!!!!!!!!FIG_RECTANGLE!3979.17!3822.00!12.00!20.00! 00000004!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!LV12!1!R20X12-NPM!TOP!TOP!HDMI_CLKP!3979.17!3772.79!!!!!!!!!!!!!!!FIG_RECTANGLE!3979.17!3772.79!12.00!20.00! 00000001!!TAIYO_MCF12102G900-T_4P-NPM!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!19!R39X79!BOTTOM!BOTTOM!GND!12209.96!2037.40!!!!!!!!!!!!!!!FIG_RECTANGLE!12209.96!2037.40!83.00!43.00! 00000019!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!3!O12X35!BOTTOM!BOTTOM!+3.3V_ALW!12330.04!2159.45!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2159.45!39.00!16.00! 00000003!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!2!O12X35!BOTTOM!BOTTOM!SIO_SLP_S3#!12330.04!2139.77!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2139.77!39.00!16.00! 00000002!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!1!O12X35!BOTTOM!BOTTOM!+3.3V_ALW_PCH!12330.04!2120.08!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2120.08!39.00!16.00! 00000001!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!18!O12X35!BOTTOM!BOTTOM!!12330.04!2454.73!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2454.73!39.00!16.00! 00000018!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!17!O12X35!BOTTOM!BOTTOM!!12330.04!2435.04!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2435.04!39.00!16.00! 00000017!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!16!O12X35!BOTTOM!BOTTOM!!12330.04!2415.36!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2415.36!39.00!16.00! 00000016!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!15!O12X35!BOTTOM!BOTTOM!SIO_SLP_S0#!12330.04!2395.67!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2395.67!39.00!16.00! 00000015!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!14!O12X35!BOTTOM!BOTTOM!GND!12330.04!2375.99!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2375.99!39.00!16.00! 00000014!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!13!O12X35!BOTTOM!BOTTOM!SYS_RESET#!12330.04!2356.30!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2356.30!39.00!16.00! 00000013!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!12!O12X35!BOTTOM!BOTTOM!GND!12330.04!2336.62!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2336.62!39.00!16.00! 00000012!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!11!O12X35!BOTTOM!BOTTOM!POWER_SW#_MB!12330.04!2316.93!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2316.93!39.00!16.00! 00000011!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!10!O12X35!BOTTOM!BOTTOM!GND!12330.04!2297.25!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2297.25!39.00!16.00! 00000010!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!9!O12X35!BOTTOM!BOTTOM!PCH_RTCRST#!12330.04!2277.56!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2277.56!39.00!16.00! 00000009!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!8!O12X35!BOTTOM!BOTTOM!GND!12330.04!2257.88!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2257.88!39.00!16.00! 00000008!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!7!O12X35!BOTTOM!BOTTOM!+3.3V_ALW!12330.04!2238.19!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2238.19!39.00!16.00! 00000007!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!6!O12X35!BOTTOM!BOTTOM!SIO_SLP_A#!12330.04!2218.51!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2218.51!39.00!16.00! 00000006!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!5!O12X35!BOTTOM!BOTTOM!SIO_SLP_S4#!12330.04!2198.82!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2198.82!39.00!16.00! 00000005!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!4!O12X35!BOTTOM!BOTTOM!SIO_SLP_S5#!12330.04!2179.14!!!!!!!!!!!!!!!FIG_RECTANGLE!12330.04!2179.14!39.00!16.00! 00000004!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!JAPS1!20!R39X79!BOTTOM!BOTTOM!GND!12209.96!2537.40!!!!!!!!!!!!!!!FIG_RECTANGLE!12209.96!2537.40!83.00!43.00! 00000020!!ACES_50506-01841-P01_18P!!!!!!!!!0.00!!!!!!
S!PIN!CI32!1!R53X106-NPM!BOTTOM!BOTTOM!+5V_USB_CHG_PWR!11896.63!1207.50!!!!!!!!!!!!!!!FIG_RECTANGLE!11896.63!1207.50!53.00!106.00! 00000001!!C_B2-NPM!!!!!!!!!0.00!!!!!!
S!PIN!CI32!2!R53X106-NPM!BOTTOM!BOTTOM!GND!11788.36!1207.50!!!!!!!!!!!!!!!FIG_RECTANGLE!11788.36!1207.50!53.00!106.00! 00000002!!C_B2-NPM!!!!!!!!!0.00!!!!!!
S!PIN!CMOS1!1!30RDFLAT-NPM!BOTTOM!BOTTOM!PCH_RTCRST#!5833.81!1731.29!!!!!!!!!!!!!!!FIG_RECTANGLE!5833.81!1731.29!50.00!50.00! 00000001!!SHORTPADS-NPM!!!!!!!!!0.00!!!!!!
S!PIN!CMOS1!2!30RDFLAT-NPM!BOTTOM!BOTTOM!GND!5833.81!1693.29!!!!!!!!!!!!!!!FIG_RECTANGLE!5833.81!1693.29!50.00!50.00! 00000002!!SHORTPADS-NPM!!!!!!!!!0.00!!!!!!
S!PIN!PR960!1!R20X22!TOP!TOP!GND!310.00!400.50!!!!!!!!!!!!!!!FIG_RECTANGLE!310.00!400.50!26.00!24.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR960!2!R20X22!TOP!TOP!OTGEN/CMIN!310.00!364.50!!!!!!!!!!!!!!!FIG_RECTANGLE!310.00!364.50!26.00!24.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR951!1!R20X22!TOP!TOP!CMOUT!400.00!120.00!!!!!!!!!!!!!!!FIG_RECTANGLE!400.00!120.00!26.00!24.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR951!2!R20X22!TOP!TOP!N45981582!400.00!156.00!!!!!!!!!!!!!!!FIG_RECTANGLE!400.00!156.00!26.00!24.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR949!1!R20X22!TOP!TOP!N45957243!543.00!157.26!!!!!!!!!!!!!!!FIG_RECTANGLE!543.00!157.26!26.00!24.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR949!2!R20X22!TOP!TOP!N17509431!543.00!121.26!!!!!!!!!!!!!!!FIG_RECTANGLE!543.00!121.26!26.00!24.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR947!1!R20X22!TOP!TOP!N17509431!540.00!-5.00!!!!!!!!!!!!!!!FIG_RECTANGLE!540.00!-5.00!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR947!2!R20X22!TOP!TOP!I_BATT!576.00!-5.00!!!!!!!!!!!!!!!FIG_RECTANGLE!576.00!-5.00!24.00!26.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR946!1!R20X22!TOP!TOP!N16404800!954.60!845.80!!!!!!!!!!!!!!!FIG_RECTANGLE!954.60!845.80!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR946!2!R20X22!TOP!TOP!ACAV_IN!918.60!845.80!!!!!!!!!!!!!!!FIG_RECTANGLE!918.60!845.80!24.00!26.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR942!1!R20X22!TOP!TOP!ACAV_IN1!1077.86!779.80!!!!!!!!!!!!!!!FIG_RECTANGLE!1077.86!779.80!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR942!2!R20X22!TOP!TOP!N46430682!1041.86!779.80!!!!!!!!!!!!!!!FIG_RECTANGLE!1041.86!779.80!24.00!26.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR941!1!R20X22!TOP!TOP!ACAV_IN_NB!1173.86!686.80!!!!!!!!!!!!!!!FIG_RECTANGLE!1173.86!686.80!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR941!2!R20X22!TOP!TOP!N46430626!1137.86!686.80!!!!!!!!!!!!!!!FIG_RECTANGLE!1137.86!686.80!24.00!26.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR939!1!R20X22!TOP!TOP!AC1_DISC#!1172.86!735.80!!!!!!!!!!!!!!!FIG_RECTANGLE!1172.86!735.80!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR939!2!R20X22!TOP!TOP!N16404606!1136.86!735.80!!!!!!!!!!!!!!!FIG_RECTANGLE!1136.86!735.80!24.00!26.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR936!1!R20X22!TOP!TOP!N45957346!577.00!157.26!!!!!!!!!!!!!!!FIG_RECTANGLE!577.00!157.26!26.00!24.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR936!2!R20X22!TOP!TOP!I_SYS!577.00!121.26!!!!!!!!!!!!!!!FIG_RECTANGLE!577.00!121.26!26.00!24.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR935!1!R20X22!TOP!TOP!N17509431!540.00!30.00!!!!!!!!!!!!!!!FIG_RECTANGLE!540.00!30.00!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR935!2!R20X22!TOP!TOP!I_ADP!576.00!30.00!!!!!!!!!!!!!!!FIG_RECTANGLE!576.00!30.00!24.00!26.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR929!1!R20X22!BOTTOM!BOTTOM!VSYS_ISL88738!746.74!328.50!!!!!!!!!!!!!!!FIG_RECTANGLE!746.74!328.50!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR929!2!R20X22!BOTTOM!BOTTOM!+PWR_SRC!782.74!328.50!!!!!!!!!!!!!!!FIG_RECTANGLE!782.74!328.50!24.00!26.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR928!1!R20X22!TOP!TOP!ACAV_IN1!308.74!217.50!!!!!!!!!!!!!!!FIG_RECTANGLE!308.74!217.50!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR928!2!R20X22!TOP!TOP!ACOK_ISL88738!344.74!217.50!!!!!!!!!!!!!!!FIG_RECTANGLE!344.74!217.50!24.00!26.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR926!1!R20X22!TOP!TOP!H_PROCHOT#!308.74!251.50!!!!!!!!!!!!!!!FIG_RECTANGLE!308.74!251.50!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR926!2!R20X22!TOP!TOP!PROCHOT#_ISL88738!344.74!251.50!!!!!!!!!!!!!!!FIG_RECTANGLE!344.74!251.50!24.00!26.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR922!1!R20X22!TOP!TOP!PBAT_CHARGER_SMBCLK!308.74!293.00!!!!!!!!!!!!!!!FIG_RECTANGLE!308.74!293.00!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR922!2!R20X22!TOP!TOP!SCL_ISL88738!344.74!293.00!!!!!!!!!!!!!!!FIG_RECTANGLE!344.74!293.00!24.00!26.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR920!1!R20X22!TOP!TOP!PBAT_CHARGER_SMBDAT!308.74!328.00!!!!!!!!!!!!!!!FIG_RECTANGLE!308.74!328.00!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR920!2!R20X22!TOP!TOP!SDA_ISL88738!344.74!328.00!!!!!!!!!!!!!!!FIG_RECTANGLE!344.74!328.00!24.00!26.00! 00000002!!R0402_0OHM!!!!!!!!!0.00!!!!!!
S!PIN!PR679!1!R20X22!BOTTOM!BOTTOM!N39469798!2490.76!2633.40!!!!!!!!!!!!!!!FIG_RECTANGLE!2490.76!2633.40!24.00!26.00! 00000001!!R0402_0OHM!!!!!!!!!0.00!!!!!!
