A!SUBCLASS!RECORD_TAG!REFDES!COMP_PACKAGE!COMP_PART_NUMBER!SYM_NAME!SYM_X!SYM_Y!SYM_ROTATE!SYM_MIRROR!GRAPHIC_DATA_NAME!GRAPHIC_DATA_1!GRAPHIC_DATA_2!GRAPHIC_DATA_3!GRAPHIC_DATA_4!GRAPHIC_DATA_5!GRAPHIC_DATA_6!GRAPHIC_DATA_7!GRAPHIC_DATA_8!GRAPHIC_DATA_9!GRAPHIC_DATA_10!PACKAGE_HEIGHT_MIN!PACKAGE_HEIGHT_MAX!SYM_HAS_PIN_EDIT!SYM_DFA_DEV_CLASS!COMP_PACKAGE_HEIGHT_MIN!COMP_PACKAGE_HEIGHT_MAX!EMBEDDED_STATUS!BOM_IGNORE!SYM_ZONE_NAME!PLACEMENT_LAYER!
J!C:/Users/Prometheus/Downloads/Downloads/Dell Latitude 5480  5488 CDM70 LA-E081P LA-E082P R1.0/Dell Latitude 5480  5488 CDM70 LA-E081P LA-E082P R1.1.brd!Tue Mar 19 17:06:38 2024!-24000.00!-16212.60!24000.00!15787.40!0.01!mils!D:/2016/LE081/1107/BR14U_UMA_MB_A00_20161107-1.NET!47.679921 mil!10!UP TO DATE!
S!PLACE_BOUND_TOP!236793 1!!!!!!!!!RECTANGLE!10557.00!2977.00!10573.00!2993.00!1!!!!!!!0 MIL!!!!!!!!!
S!PLACE_BOUND_TOP!236863 1 0!RI30!R_0402-NPM!!R_0402-NPM!11427.50!1535.50!270.000!NO!LINE!11410.50!1551.50!11410.50!1483.50!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236863 2 0!RI30!R_0402-NPM!!R_0402-NPM!11427.50!1535.50!270.000!NO!LINE!11410.50!1483.50!11444.50!1483.50!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236863 3 0!RI30!R_0402-NPM!!R_0402-NPM!11427.50!1535.50!270.000!NO!LINE!11444.50!1483.50!11444.50!1551.50!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236863 4 0!RI30!R_0402-NPM!!R_0402-NPM!11427.50!1535.50!270.000!NO!LINE!11444.50!1551.50!11410.50!1551.50!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236869 1 0!RI29!R_0402-NPM!!R_0402-NPM!11462.50!1535.50!270.000!NO!LINE!11445.50!1551.50!11445.50!1483.50!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236869 2 0!RI29!R_0402-NPM!!R_0402-NPM!11462.50!1535.50!270.000!NO!LINE!11445.50!1483.50!11479.50!1483.50!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236869 3 0!RI29!R_0402-NPM!!R_0402-NPM!11462.50!1535.50!270.000!NO!LINE!11479.50!1483.50!11479.50!1551.50!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236869 4 0!RI29!R_0402-NPM!!R_0402-NPM!11462.50!1535.50!270.000!NO!LINE!11479.50!1551.50!11445.50!1551.50!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236875 1 0!RI28!R_0402-NPM!!R_0402-NPM!11300.00!1458.00!270.000!NO!LINE!11283.00!1474.00!11283.00!1406.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236875 2 0!RI28!R_0402-NPM!!R_0402-NPM!11300.00!1458.00!270.000!NO!LINE!11283.00!1406.00!11317.00!1406.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236875 3 0!RI28!R_0402-NPM!!R_0402-NPM!11300.00!1458.00!270.000!NO!LINE!11317.00!1406.00!11317.00!1474.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236875 4 0!RI28!R_0402-NPM!!R_0402-NPM!11300.00!1458.00!270.000!NO!LINE!11317.00!1474.00!11283.00!1474.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236881 1 0!RI27!R_0402-NPM!!R_0402-NPM!11340.00!1458.00!270.000!NO!LINE!11323.00!1474.00!11323.00!1406.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236881 2 0!RI27!R_0402-NPM!!R_0402-NPM!11340.00!1458.00!270.000!NO!LINE!11323.00!1406.00!11357.00!1406.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236881 3 0!RI27!R_0402-NPM!!R_0402-NPM!11340.00!1458.00!270.000!NO!LINE!11357.00!1406.00!11357.00!1474.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236881 4 0!RI27!R_0402-NPM!!R_0402-NPM!11340.00!1458.00!270.000!NO!LINE!11357.00!1474.00!11323.00!1474.00!0.00!!!!!SHAPE!!16 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236890 1 0!PJP901!JUMP_43X118-NPM!!JUMP_43X118-NPM!189.00!336.35!270.000!YES!LINE!86.50!430.84!291.50!430.84!0.00!!!!!SHAPE!!6 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236890 2 0!PJP901!JUMP_43X118-NPM!!JUMP_43X118-NPM!189.00!336.35!270.000!YES!LINE!291.50!430.84!291.50!285.17!0.00!!!!!SHAPE!!6 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236890 3 0!PJP901!JUMP_43X118-NPM!!JUMP_43X118-NPM!189.00!336.35!270.000!YES!LINE!291.50!285.17!86.50!285.17!0.00!!!!!SHAPE!!6 MIL!NO!!!!!!!!
S!PLACE_BOUND_BOTTOM!236890 4 0!PJP901!JUMP_43X118-NPM!!JUMP_43X118-NPM!189.00!336.35!270.000!YES!LINE!86.50!285.17!86.50!430.84!0.00!!!!!SHAPE!!6 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 1 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4127.18!3765.29!4127.18!3829.50!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 2 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4127.18!3829.50!4124.32!3829.50!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 3 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4124.32!3829.50!4124.32!3839.50!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 4 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4124.32!3839.50!4075.67!3839.50!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 5 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4075.67!3839.50!4075.67!3829.50!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 6 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4075.67!3829.50!4072.81!3829.50!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
